Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Abschnitt
418	Germ.Pont. 4	161	367	*	*483	Roma	18 Dezember 1165	1165-12-18	1165-12-18	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und Kardinalpriester von San Marcello		II p. 196	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
419	Germ.Pont. 4	161	368	*	*484	(Roma)	(Dez. 1165-18 März 1166)	1165-12-01	1166-03-31	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
420	Germ.Pont. 4	161	369		485	Laterano	16 April 1166	1166-04-16	1166-04-16	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und Kardinalpriester von San Marcello, sowie dessen Kleriker		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
421	Germ.Pont. 4	162	370	*	*486	(Roma)	(16. April-04.Mai 1166)	1166-04-16	1166-04-04	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
422	Germ.Pont. 4	164	376	*	*487	(Roma)	(Jul. 1167)	1167-07-01	1167-07-31	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
423	Germ.Pont. 4	165	379	*	*488	–	[1167]	1167-01-01	1167-12-31	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
424	Germ.Pont. 4	166	385	*	*489	–	(post 15/16 März )1169	1169-03-15	1169-03-16	Alexander III.	Alexander III.	Adalbert III. von Böhmen, Erzbischof von Salzburg		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
425	Germ.Pont. 4	168	392		490	Tusculanum	28 Januar (1172)	1172-01-28	1172-01-28	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz sowie apostolischer Legat		12137	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
426	Germ.Pont. 4	168	393	*	*491	–	[1172]	1172-01-01	1172-12-31	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz sowie apostolischer Legat		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
427	Germ.Pont. 4	169	396	*	492	–	(cr. 1173)	1173-01-01	1173-12-31	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz sowie apostolischer Legat		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
428	Germ.Pont. 4	169	397	*	*493	–	(1173 ex.-1174 in.)	1173-01-01	1174-12-31	Alexander III.	Alexander III.	Adalbert III. von Böhmen, Erzbischof von Salzburg		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
429	Germ.Pont. 4	170	400		494	Anagni	02 Juni (1174)	1174-06-02	1174-06-02	Alexander III.	Alexander III.	Adalbert III. von Böhmen, Erzbischof von Salzburg		12382	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
430	Germ.Pont. 4	170	401		495	Anagni	08 September (1174)	1174-09-08	1174-09-08	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz sowie apostolischer Legat		12390	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
431	Germ.Pont. 4	171	402		496	Ferentino	21 März (1175)	1175-03-21	1175-03-21	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz sowie apostolischer Legat		12447	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
432	Germ.Pont. 4	172	408		497	(Anagni)	(in. Nov. 1176)	1176-11-01	1176-11-30	Alexander III.	Alexander III.	(?)	untypischer Fall - zudem ist der Empfänger nicht direkt ersichtlich; kein typischer Aufbau	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
433	Germ.Pont. 4	176	419		*498	Ferrara	(post med April 1177)	1177-04-01	1177-04-30	Alexander III.	Alexander III.	(?)	untypischer Fall - zudem ist der Empfänger nicht direkt ersichtlich, kein typischer Aufbau	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
434	Germ.Pont. 4	176	420		*499	Venezia-Pomposa-Chioggia-Venezia	(ex. Mai -med. Juli 1177)	1177-05-01	1177-07-31	Alexander III.	Alexander III.	(?)	untypischer Fall - zudem ist der Empfänger nicht direkt ersichtlich, kein typischer Aufbau	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
435	Germ.Pont. 4	198	7	*	*499	Venezia-Pomposa-Chioggia-Venezia	(ex. Mai -med. Juli 1177)	1177-05-01	1177-07-31	Alexander III.	Alexander III.	(?)	untypischer Fall - zudem ist der Empfänger nicht direkt ersichtlich, kein typischer Aufbau	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
436	Germ.Pont. 4	214	1	*	*499	Venezia-Pomposa-Chioggia-Venezia	(ex. Mai -med. Juli 1177)	1177-05-01	1177-07-31	Alexander III.	Alexander III.	(?)	untypischer Fall - zudem ist der Empfänger nicht direkt ersichtlich, kein typischer Aufbau	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
437	Germ.Pont. 4	177	421		500	Venezia, Rialto	10 Juli 1177	1177-07-10	1177-07-10	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und Kardinalbischof von Sabina		12881	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
438	Germ.Pont. 4	177	423		501	(Chioggia)	(cr. 22 Juli 1177)	1177-07-22	1177-07-22	Alexander III.	Alexander III.	–	untypischer Fall - zudem ist der Empfänger nicht direkt ersichtlich, kein typischer Aufbau	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
439	Germ.Pont. 4	178	425	*	502	Venezia, in palatio Gradensis patriarchae	01 August 1177	1177-08-01	1177-08-01	Alexander III.	Alexander III.	–	untypischer Fall - zudem ist der Empfänger nicht direkt ersichtlich, kein typischer Aufbau	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
440	Germ.Pont. 4	179	429	*	*503	(Venezia)	(06-08.August 1177)	1177-01-06	1177-12-08	Alexander III.	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und Kardinalbischof von Sabina		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
441	Germ.Pont. 4	180	430	*	504	(Venezia)	(cr. 09 August 1177)	1177-08-09	1177-08-09	Alexander III.	Alexander III.	Christian I. von Buch, Kanzler		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
442	Germ.Pont. 4	180	431		505	Venezia	09 August (1177)	1177-08-09	1177-08-09	Alexander III.	Alexander III.	Chor der Salzburger Kirche, Prälaten und Ministerialen der Kirchen		12912	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
443	Germ.Pont. 4	180	432		506	Venezia, San Marco	14 August 1177	1177-08-14	1177-08-14	Alexander III.	Alexander III.	Prälaten von Italien und Deutschland		II p. 313	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
444	Germ.Pont. 4	214	2		507	Venezia, Rialto	18 August 1177	1177-08-18	1177-08-18	Alexander III.	Alexander III.	Fulbert, Abt des Klosters St. Jakob vor Mainz, sowie dessen Mitbrüder		12918	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
445	Germ.Pont. 4	181	434	*	*508	(Venezia)	(post 17 September 1177)	1177-09-17	1177-09-17	Alexander III.	Alexander III.	Christian I. von Buch, Erzbischof von Mainz, und Konrad II. von Sternberg, Bischof von Worms, und Arduin, Protonotar		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
446	Germ.Pont. 4	261	4		509	Anagni	26 Januar 1178	1178-01-26	1178-01-26	Alexander III.	Alexander III.	Arnold, Abt des Klosters St. Maria in Eberbach, sowie dessen Mitbrüder		13013	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
447	Germ.Pont. 4	181	436	*	*510	Roma	12 März 1178	1178-03-12	1178-03-12	Alexander III.	Alexander III.	Christian I. von Buch, Erzbischof von Mainz, und Konrad II. von Sternberg, Bischof von Worms		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
448	Germ.Pont. 4	182	437		511	Laterano	15 März (1178)	1178-03-15	1178-03-15	Alexander III.	Alexander III.	Magister Girard Pucella		13032	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
449	Germ.Pont. 4	182	438	*	*512	Viterbo	(12.03- cr. aest. 1178)	1178-01-12	1178-12-03	Alexander III.	Alexander III.	–		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
450	Germ.Pont. 4	182	439		513	–	(vermutl. Aug.1178)	1178-01-01	1178-12-31	Alexander III.	Alexander III.	Christian I. von Buch, Erzbischof von Mainz		13093	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
451	Germ.Pont. 4	198	8	*	*514	–	(August - September in. 1178)	1178-08-01	1178-09-30	Alexander III.	Alexander III.	Scholastiker Siegfried (Sifrido?) aus Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
452	Germ.Pont. 4	206	1	*	*514	–	(August - September in. 1178)	1178-08-01	1178-09-30	Alexander III.	Alexander III.	Scholastiker Siegfried (Sifrido?) aus Mainz (und der Probst von St. Johannes)		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
453	Germ.Pont. 4	182	440		515	–	[September 1178]	1178-09-01	1178-09-30	Alexander III.	Alexander III.	(Christian I. von Buch), Erzbischof von Mainz		13104	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
454	Germ.Pont. 4	183	442		516	–	[1178]	1178-01-01	1178-12-31	Alexander III.	Alexander III.	(Otto II. von Andechs,) Bischof von Bamberg		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
455	Germ.Pont. 4	401	129	*	*517	Roma	18 März 1179	1179-03-18	1179-03-18	Alexander III.	Alexander III.	Konrad II., Abt von Fulda		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
456	Germ.Pont. 4	183	443		518	Laterano	5-19 Mai 1179	1179-05-05	1179-05-19	Alexander III.	Alexander III.	–	kein typischer Aufbau - zudem ist der Empfänger nicht direkt ersichtlich - Laterankonzil	II p. 399 sqq.	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
457	Germ.Pont. 4	235	23		519	Laterano	07 April 1179	1179-04-07	1179-04-07	Alexander III.	Alexander III.	Sigehard, Abt des Klosters St. Nazarius in Lorsch, sowie dessen Mitbrüder		13370	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
458	Germ.Pont. 4	236	24		520	Laterano	15 April (1179)	1179-04-15	1179-04-15	Alexander III.	Alexander III.	Sigehard, Abt des Klosters St. Nazarius in Lorsch		13384	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
459	Germ.Pont. 4	183	444		521	Laterano	03 Mai (1179)	1179-05-03	1179-05-03	Alexander III.	Alexander III.	(Christian I. von Buch,) Erzbischof von Mainz		13409	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
460	Germ.Pont. 4	216	2		522	Laterano	15 Mai (1178-79)	1178-05-15	1179-05-15	Alexander III.	Alexander III.	Probst und Kanoniker von St. Maria (Liebfrauenstift) in Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
461	Germ.Pont. 4	244	16		523	–	(1177-79)	1177-01-01	1179-12-31	Alexander III.	Alexander III.	(Wezelin), Probst von St. Andreas in Köln (Wezelino praeposito s. Andreae in Colonia?)		13148	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
462	Germ.Pont. 4	239	3		523	–	(1177-79)	1177-01-01	1179-12-31	Alexander III.	Alexander III.	(Wezelin), Probst von St. Andreas in Köln (Wezelino praeposito s. Andreae in Colonia?)		13148	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
463	Germ.Pont. 4	236	25		524	–	14 Juli (1181)	1181-07-14	1181-07-14	Alexander III.	Alexander III.	Sigehard, Abt des Klosters St. Nazarius in Lorsch, Viterbo		14412	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
464	Germ.Pont. 4	184	446		*525	Viterbo	16 August (1181)	1181-08-16	1181-08-16	Alexander III.	Alexander III.	(Wolfram), Abt des Klosters Michelsberg in Bamberg		14423	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
465	Germ.Pont. 4	184	447	*	526	–	(30 August 1164-1181)	1164-08-30	1181-08-30	Alexander III.	Alexander III.	(Konrad I. von Wittelsbach oder Christian I. von Buch), Erzbischof von Mainz oder das Mainzer Kapitel		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
466	Germ.Pont. 4	199	10	*	526	–	(30 August 1164-1181)	1164-08-30	1181-08-30	Alexander III.	Alexander III.	(Konrad I. von Wittelsbach oder Christian I. von Buch), Erzbischof von Mainz oder das Mainzer Kapitel		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
467	Germ.Pont. 4	158	358	*	*527	Mainz]	(cr. 18 April )1163	1163-04-18	1163-04-18	Alexander III.	Eberhard I. von Biburg, Erzbischof von Salzburg (pro parte Alexandri III.)	Konrad I. von Wittelsbach, Erzbischof von Mainz (electus)	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
468	Germ.Pont. 4	159	360	*	*528	–	(post 20 April 1164)	1164-04-20	1164-04-20	Alexander III.	(Konrad I. von Wittelsbach), Erzbischof von Mainz (electus) (pro parte Alexandri III.)	(?)	Apostolischer Legat - kein typischer Aufbau - zudem ist der Empfänger nicht direkt ersichtlich	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
469	Germ.Pont. 4	165	380	*	*529	–	(ante med. 1168)	1168-01-01	1168-12-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Erzbischof von Thomas Becket von Canterbury	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
470	Germ.Pont. 4	167	388	*	*530	–	(post August 1169)	1169-08-01	1169-08-31	Alexander III.	Konrad I. von Witelsbach, Erzbischof von Mainz und apostolischer Legat	Albo, Bischof von Passau	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
471	Germ.Pont. 4	167	390		531	Diessen/Dießen]	(April 1169 - Januar 1171)	1169-04-01	1171-01-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Hartwich, Probst, sowie die gesamte Kongregation von St. Maria in Dießen	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
472	Germ.Pont. 4	167	391	*	*532	–	[1171]	1171-01-01	1171-12-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Gerard, Abt des Klosters St. Zeno in Veronensis (Verona?)	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
473	Germ.Pont. 4	168	394	*	*533	–	[1172]	1172-01-01	1172-12-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Gerardo Offreducci da Marostica, Bischof von Padua	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
474	Germ.Pont. 4	169	398		534	–	(ex. 1173- in. 1174)	1173-01-01	1174-12-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Adalbert III. von Böhmen	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
475	Germ.Pont. 4	171	405	*	*535	–	(cr. Juni 1176)	1176-06-01	1176-06-30	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Walter II, Kardinalbischof von Albano (und apostolischer Legat) sowie (Ottokar IV.,) Markgraf der Steiermark	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
476	Germ.Pont. 4	173	411		536	–	(April 1169-Januar 1171 oder 1173-cr. März 1177)	1169-04-01	1177-03-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Rupert von Neuburg-Falkenstein, Abt des Klosters St. Quirinus in Tegernsee	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
477	Germ.Pont. 4	174	412		537	Berchtesgaden]	(1173- cr. März 1177)	1173-03-01	1177-03-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Dietrich, Probst des Klosters in Berchtesgaden	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
478	Germ.Pont. 4	174	413		538	–	(aestate 1175- cr. März 1177)	1175-03-01	1177-03-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	(Rupert von Neuburg-Falkenstein,) Abt des Klosters St. Quirinus in Tegernsee	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
479	Germ.Pont. 4	174	414	*	*539	–	(1176- cr. März 1177	1176-03-01	1177-03-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Werner, Probst in Klosterneuburg	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
480	Germ.Pont. 4	174	415		540	–	(1176- cr. März 1177	1176-03-01	1177-03-31	Alexander III.	Konrad I. von Wittelsbach, Erzbischof von Mainz und apostolischer Legat	Werner, Probst in Klosterneuburg	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
481	Germ.Pont. 4	175	416		*541	–	(1176- cr. März 1177	1176-03-01	1177-03-31	Alexander III.	Werner, Probst in Klosterneuburg	Adalbert III. von Böhmen, Erzbischof von Salzburg	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
482	Germ.Pont. 4	171	404	*	*542	–	[Juli 1175]	1175-07-01	1175-07-31	Alexander III.	(Ubaldo Allucingoli), Bischof von Ostia und Kardinal, (Bernardus), Bischof von Porto und Kardinal sowie (Guillelmo), Kardinalpriester von St. Pietro in Vincoli (St. Petri ad vincula), apostolische Legaten	(?)	Apostolischer Legat - kein typischer Aufbau - zudem ist der Empfänger nicht direkt ersichtlich	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
483	Germ.Pont. 4	173	410	*	*543	–	[Januar 1177]	1177-01-01	1177-01-31	Alexander III.	Guilielmus I. Di Pavia, Bischof von Porto und Kardinal, sowie Giacinto Bobone (Iacinthus), Kardinaldiakon von St. Maria in Cosmedin	(?)	Apostolischer Legat - kein typischer Aufbau - zudem ist der Empfänger nicht direkt ersichtlich	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
484	Germ.Pont. 4	177	424	*	*544	(Venezia)]	(24 Juli 1177)	1177-07-24	1177-07-24	Alexander III.	Ubaldo Allucingoli, Bischof von Ostia und Kardinal, Guilielmus I. Di Pavia, Bischof von Porto und Kardinal, Manfred von Lavangna, Kardinalbischof von Palestrina, Giovanni Pizzuti (Iohannes), Kardinalpriester von St. Anastasia, Theodinus, Kardinalpriester von St. Vitalis, Pietro Caetani/Pietro de Bono (Petrus), Kardinalpriester von St. Susanna, sowie Giacinto Bobone (Iacinthus), Kardinaldiakon von St. Maria in Cosmedin	(?)	Apostolischer Legat - kein typischer Aufbau - zudem ist der Empfänger nicht direkt ersichtlich	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
485	Germ.Pont. 4	183	441		545	–	(post August 1177-1178)	1177-08-01	1178-08-31	Alexander III.	Christian I. von Buch, sedis humilis minister	Prior Berald und alle Cluniazenser (?)	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
486	Germ.Pont. 4	401	128		*546	Roma]	17 März 1179	1179-03-17	1179-03-17	Alexander III.	Ubaldo Allucingoli, Bischof von Ostia und Kardinal	Konrad, Abt des Klosters in Fulda	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
487	Germ.Pont. 4	181	435	*	*547	–	(cr. Oktober 1177)	1177-10-01	1177-10-31	Alexander III.	Magister Raniero da Pavia (Rainerius), Kardinaldiakon von San Giorgio in Velabro, sowie Graecus, Subdiakon	Konrad I. von Wittelsbach, Reichserzkanzler	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
488	Germ.Pont. 4	402	130	*	*548	Fulda]	(cr. April ex.- in. Mai 1180)	1180-04-01	1180-05-31	Alexander III.	(Petrus (Pietro IV. da Pavia)), Kardinalbischof (von Tusculum) und (Petrus (Pietro Caetani/Pietro de Bono), Kardinalpriester von St. Susanna), Legaten Alexanders III.	Ecclesia Fuldensis	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
489	Germ.Pont. 4	402	131	*	*549	Fulda]	post 08 Juni 1180	1180-06-08	1180-06-08	Alexander III.	(Petrus (Pietro IV. da Pavia)), Kardinalbischof (von Tusculum) und (Petrus (Pietro Caetani/Pietro de Bono), Kardinalpriester von St. Susanna), apostolische Legaten	–	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
490	Germ.Pont. 4	211	3	*	*573	–	(1177- in 1183)	1177-01-01	1183-12-31	Alexander III.	Alexander III oder Lucius III	Hermann II. von Katzenelnbogen, Bischof von Münster und Folbert (Folberto), Abt des Klosters St. Jakob in Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
491	Germ.Pont. 4	214	3	*	*573	–	(1177- in 1183)	1177-01-01	1183-12-31	Alexander III.	Hermann II. von Katzenelnbogen, Bischof von Münster und Folbert (Folberto), Abt des Klosters St. Jakob in Mainz	Alexander III oder Lucius III	Alexander III oder Lucius III	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
492	Germ.Pont. 4	264	1	*	*573	–	(1177- in 1183)	1177-01-01	1183-12-31	Alexander III.	Hermann II. von Katzenelnbogen, Bischof von Münster und Folbert (Folberto), Abt des Klosters St. Jakob in Mainz	Alexander III oder Lucius III	Alexander III oder Lucius III	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
493	Germ.Pont. 4	266	3		473	Sutri	12 Juni 1158	1158-06-12	1158-06-12	Hadrian IV.	Hadrian IV.	Gerbodus, Probst der Kirche St. Johann Baptist in Langenselbold	Rolando, Kardinalpriester von San Marco sowie Kanzler der Röm. Kirche, wird als Subskribent aufgeführt	10411	Weitere Alexander-Betreffe
494	Germ.Pont. 4	234	21		550	Vetralla	05 Dezember (1159)	1159-12-05	1159-12-05	Viktor IV.	Viktor IV.	Heinrich, Abt des Klosters von Lorsch		14428	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
495	Germ.Pont. 4	157	352		551	Pavia	(12 Februar 1160)	1160-02-12	1160-02-12	Viktor IV.	Viktor IV.	–		II p. 420	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
496	Germ.Pont. 4	157	353	*	*552	(Pavia)	(post 13 Februar 1160)	1160-02-13	1160-02-13	Viktor IV.	Viktor IV.	Arnold von Seelenhofen, Erzbischof von Mainz		14437	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
497	Germ.Pont. 4	235	22		553	Pavia	28 Februar (1160)	1160-02-28	1160-02-28	Viktor IV.	Viktor IV.	Heinrich, Abt des Klosters von Lorsch		14436	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
498	Germ.Pont. 4	157	355	*	*554	Lodi	20.-22 Juni 1161	1161-06-20	1161-06-22	Viktor IV.	Viktor IV. zusammen mit Friedrich I., Kaiser	Rudolf von Zähringen, Erzbischof von Mainz (wird hier exkommuniziert) und Bruder des Herzogs Berthold IV. von Zähringen sowie Christian I. von Buch, Erzbischof von Mainz (wird hier eingesetzt)		II p. 442	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
499	Germ.Pont. 4	291	4		555	Lodi	26 Juni (1161)	1161-06-26	1161-06-26	Viktor IV.	Viktor IV.	Balduin, Abt des Klosters in Lesbernensi (Liesborn?) sowie Gunter, Probst in Lippoldsberg		14452	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
500	Germ.Pont. 4	292	3	*	*556	Cremona	30 Juni (1162)	1162-06-30	1162-06-30	Viktor IV.	Viktor IV.	Konrad, Abt des Klosters in Corvey		14465	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
501	Germ.Pont. 4	285	26		557	Bologna	13 Juli 1162	1162-07-13	1162-07-13	Viktor IV.	Viktor IV.	Hermann I., Abt des Klosters St. Wigbert in (Bad) Hersfeld und dessen Nachfolgern		14468	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
502	Germ.Pont. 4	158	356	*	*558	St. Jean-de-Losne	sept. in 1162	1162-09-01	1162-09-30	Viktor IV.	Viktor IV.	–		II p. 424	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
503	Germ.Pont. 4	158	357		559	Besançon	11 September (1162)	1162-09-11	1162-09-11	Viktor IV.	Viktor IV.	Konrad I. von Wittelsbach, electus		14472	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
504	Germ.Pont. 4	292	4		559	Besançon	11 September (1162)	1162-09-11	1162-09-11	Viktor IV.	Viktor IV.	Konrad I. von Wittelsbach, electus		14472	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
505	Germ.Pont. 4	255	1		560	–	(Nov. 1162-Jan. 1163)	1162-11-01	1163-01-31	Viktor IV.	Viktor IV.	Willero, Probst der Kirche St. Maria in Flonheim, sowie die Mitbrüder		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
506	Germ.Pont. 4	159	359	*	561	Lodi	04 November 1163	1163-11-04	1163-11-04	Viktor IV.	Viktor IV. und Friedrich I., Kaiser zusammen mit allen Kardinälen, Erzbischöfen und Bischöfen, darunter der gewählte Konrad I. von Wittelsbach, Erzbischof von Mainz, sowie Hermann, Bischof von Verden	–		II p. 425	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
507	Germ.Pont. 4	157	354	*	*562	–	29 Oktober 1160	1160-10-29	1160-10-29	Viktor IV.	Hillin von Falmagne (Hillinus), Erzbischof von Trier und apostolischer Legat	Conradus palatinus Rheni und Ludewigus lantgravius	apostolischer Legat	–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
508	Germ.Pont. 4	401	127	*	*563	Roma S. Pietro	30.07(-06.08).1167	1167-01-30	1167-12-08	Paschalis III.	Paschalis III. (antipapa)	Hermann, Abt des Klosters in Fulda		14493	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
509	Germ.Pont. 4	165	382	*	*564	–	(05 März 1167-20 September 1168)	1167-03-05	1168-09-05	Paschalis III.	Paschalis III.	Christian I. von Buch, Erzbischof von Mainz		–	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
510	Germ.Pont. 4	165	383	*	565	–	(05 März 1167-20 September 1168)	1167-03-05	1168-09-05	Paschalis III.	Paschalis III.	Christian I. von Buch, Erzbischof von Mainz		14494	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
511	Germ.Pont. 4	159	361	*	*566	Pisa]	30 November 1164	1164-11-30	1164-11-30	Paschalis III.	Christian I. von Buch, Erzkanzler Friedrich I.	Paschalis III.	apostolischer Legat	II p. 427	a) elenchus pontificum romanorum, quorum acta in hoc volumine continentur
