Lfd. Nummer	Band	Seite	Nummer	Echtheit	Listennummer	Ort	Datum	notBefore	notAfter	Papst	Aussteller	Empfänger	Kurzregest	JL	Notiz
1456	It.Pont. 6,2	306	11		424	Genova	19 März [1162]	1162-03-19	1162-03-19	Alexander III.	Alexander III.	Bertraimus, Abt des Klosters St. Syrus aus Genua, sowie alle Mitbrüder		10705	
1457	It.Pont. 6,2	282	19		425	Genova	22 März 1162	1162-03-22	1162-03-22	Alexander III.	Alexander III.	Hugo/Ugo, Erzdiakon, Obertus, Probst, sowie die übrigen Kanoniker von St. Laurentius in Genua		10706	
1458	It.Pont. 6,2	268	13		426	Genova	25 März 1162	1162-03-25	1162-03-25	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua		10663/10707	
1459	It.Pont. 6,2	328	26		426	Genova	25 März 1162	1162-03-25	1162-03-25	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua		10663/10707	
1460	It.Pont. 6,2	345	2	*	*427	Genova	[1162]	1162-01-01	1162-12-31	Alexander III.	Brüder von Mortara bei einer Audienz Alexanders III. (ad audientam Alexandri III)	–		–	
1461	It.Pont. 6,2	328	27		428	Montpellier	23 April [1162]	1162-04-23	1162-04-23	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua, sowie Kanoniker, Konsuln und gesamter Klerus und Volk von Genua		10709	
1462	It.Pont. 6,2	269	14		428	Montpellier	23 April [1162]	1162-04-23	1162-04-23	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua, sowie Kanoniker, Konsuln und gesamter Klerus und Volk von Genua		10709	
1463	It.Pont. 6,2	283	20		428	Montpellier	23 April [1162]	1162-04-23	1162-04-23	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua, sowie Kanoniker, Konsuln und gesamter Klerus und Volk von Genua		10709	
1464	It.Pont. 6,2	329	28		429	Montpellier	07 Juni [1162]	1162-06-07	1162-06-07	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua, sowie Erzdiakon, Propst, Kanoniker, Konsuln und gesamter Klerus und Volk von Genau		10729	
1465	It.Pont. 6,2	269	15		429	Montpellier	07 Juni [1162]	1162-06-07	1162-06-07	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua, sowie Erzdiakon, Propst, Kanoniker, Konsuln und gesamter Klerus und Volk von Genau		10729	
1466	It.Pont. 6,2	283	21		429	Montpellier	07 Juni [1162]	1162-06-07	1162-06-07	Alexander III.	Alexander III.	S(yrus [Siro de Porcello]), Erzbischof von Genua, sowie Erzdiakon, Propst, Kanoniker, Konsuln und gesamter Klerus und Volk von Genau		10729	
1467	It.Pont. 6,2	96	3	*	*430	–	[1162]	1162-01-01	1162-12-31	Alexander III.	Alexander III.	Stephanus, Abt in Chiusa (di San Michele), sowie Rufinus, Abt in Fructuarien. (= Canavese)	causa inter abbatem Aldum et monachos Savilianenses	–	
1468	It.Pont. 6,2	329	29	*	*431	–	16 November 1162	1162-11-16	1162-11-16	Alexander III.	Alexander III.	Empfänger nicht klar ersichtlich	eigentlich verkündet hier S(yrus [Siro de Porcello]), Erzbischof von Genua, libras 20 denariorum Ianuen., quas Alexandro III. fecit expendi	–	
1469	It.Pont. 6,2	48	1	*	*432	–	[1163]	1163-01-01	1163-12-31	Alexander III.	Alexander III.	Guilelmus, Bischof von Acqui		–	
1470	It.Pont. 6,2	155	23	*	*432	–	[1163]	1163-01-01	1163-12-31	Alexander III.	Alexander III.	Guilelmus, Bischof von Acqui		–	
1471	It.Pont. 6,2	343	1	*	*433	–	[1159-63]	1159-01-01	1163-12-31	Alexander III.	Alexander III.	Kirche von St. Petrus in Vesima		–	
1472	It.Pont. 6,2	100	2		434	Le Puy	29 Juni 1165	1165-06-29	1165-06-29	Alexander III.	Alexander III.	Petrus, Probst der Kirche St. Petrus und St. Andreas in Rivalta		–	
1473	It.Pont. 6,2	329	30	*	*435	Montpellier	[08-09.1165]	1165-01-08	1165-12-09	Alexander III.	Alexander III.	Genua (Ianuae)		–	
1474	It.Pont. 6,2	294	2	*	*436	–	[1159-66]	1159-01-01	1166-12-31	Alexander III.	Alexander III.	–	confirmatio	–	
1475	It.Pont. 6,2	329	31	*	*437	(Laterano)	18 Januar [1166-67]	1166-01-18	1167-01-18	Alexander III.	Alexander III.	Konsuln aus Genau		–	
1476	It.Pont. 6,2	329	32		438	Laterano	18 Januar [1166-67]	1166-01-18	1167-01-18	Alexander III.	Alexander III.	(Hugo/Ugo [Ugone della Volta],) Erzbischof von Genua		11311	
1477	It.Pont. 6,2	269	16		438	Laterano	18 Januar [1166-67]	1166-01-18	1167-01-18	Alexander III.	Alexander III.	(Hugo/Ugo [Ugone della Volta],) Erzbischof von Genua		11311	
1478	It.Pont. 6,2	127	19		439	Laterano	13 Februar [1166-67]	1166-02-13	1167-02-13	Alexander III.	Alexander III.	Abt sowie Mitbrüder von Chiusa		–	
1479	It.Pont. 6,2	269	17		440	Laterano	02 März [1166-67]	1166-03-02	1167-03-02	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genau, sowie Probst und Kanoniker von Genua		11322a	
1480	It.Pont. 6,2	283	22		440	Laterano	02 März [1166-67]	1166-03-02	1167-03-02	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genau, sowie Probst und Kanoniker von Genua		11322a	
1481	It.Pont. 6,2	295	3		440	Laterano	02 März [1166-67]	1166-03-02	1167-03-02	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genau, sowie Probst und Kanoniker von Genua		11322a	
1482	It.Pont. 6,2	314	2		441	Benevento	29 November 1168	1168-11-29	1168-11-29	Alexander III.	Alexander III.	Bonifatius, Prior der Kirche St. Theodorus, sowie dessen Mitbrüder		11422	
1483	It.Pont. 6,2	361	1		442	Benevento	02 April 1169	1169-04-02	1169-04-02	Alexander III.	Alexander III.	Raimundus, Abt des Klosters St. Maria und St. Martinus auf der Insel Gallinaria		11610	
1484	It.Pont. 6,2	32	6		443	Benevento	13 Juni 1169	1169-06-13	1169-06-13	Alexander III.	Alexander III.	Serlo, Abt des Klosters St. Maria in Lucedio		11625	
1485	It.Pont. 6,2	177	4		444	Benevento	25 Juli 1169	1169-07-25	1169-07-25	Alexander III.	Alexander III.	Nicholaus, Erzdiakon, sowie Gandulfus, Probst, jeweils der ecclesia cathedralis b. Mariae		11636	
1486	It.Pont. 6,2	270	18		445	Benevento	28 August [1169]	1169-08-28	1169-08-28	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genua		11573	
1487	It.Pont. 6,2	330	33		445	Benevento	28 August [1169]	1169-08-28	1169-08-28	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genua		11573	
1488	It.Pont. 6,2	361	2		445	Benevento	28 August [1169]	1169-08-28	1169-08-28	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genua		11573	
1489	It.Pont. 6,2	330	34		446	Benevento	12 Oktober [1167-69]	1167-10-12	1169-10-12	Alexander III.	Alexander III.	A(malricus [Amalrich I.]), König von Jerusalem		11441	
1490	It.Pont. 6,2	208	1		448	Benevento	1170	1170-01-01	1170-12-31	Alexander III.	Alexander III. (in praesentia vieler Kardinalpriester und -diakone und der Konsuln Alessandrias)	Bürgerschaft von Alessandria		–	
1491	It.Pont. 6,2	295	4	*	*449	–	[1170]	1170-01-01	1170-12-31	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genau, und Gandulgus, Abt in Tiglieto, beides Richter		–	
1492	It.Pont. 6,2	300	1	*	*449	–	[1170]	1170-01-01	1170-12-31	Alexander III.	Alexander III.	Hugo/Ugo [Ugone della Volta], Erzbischof von Genau, und Gandulgus, Abt in Tiglieto, beides Richter		–	
1493	It.Pont. 6,2	103	3	*	*450	–	25 Juli 1170	1170-07-25	1170-07-25	Alexander III.	Alexander III.	–	concessio eines Privilegs sowie eine confirmatio von Besitzungen (auf Bitten von Anselm, Abt des Klosters St. Maria in Staffarda)	–	
1494	It.Pont. 6,2	295	5		451	Ferentino	16 September [1170]	1170-09-16	1170-09-16	Alexander III.	Alexander III.	M., Probst der Kirche St. Maria in Castello, sowie die Kanoniker		11837a	
1495	It.Pont. 6,2	300	2		451	Ferentino	16 September [1170]	1170-09-16	1170-09-16	Alexander III.	Alexander III.	Probst der Kirche St. Maria in Castello, sowie die Kanoniker		11837a	
1496	It.Pont. 6,2	295	6		452	Ferentino	17 September [1170]	1170-09-17	1170-09-17	Alexander III.	Alexander III.	Kleriker von St. Damianus und St. Nazarius		11837b	
1497	It.Pont. 6,2	300	3		452	Ferentino	17 September [1170]	1170-09-17	1170-09-17	Alexander III.	Alexander III.	Kleriker von St. Damianus und St. Nazarius		11837b	
1498	It.Pont. 6,2	107	3		453	Tusculanum	20 März 1171	1171-03-20	1171-03-20	Alexander III.	Alexander III.	Beatrix, Äbtissin des Klosters St. Maria in Caramagna		–	
1499	It.Pont. 6,2	37	1		454	Tusculanum	20 Juni 1171	1171-06-20	1171-06-20	Alexander III.	Alexander III.	Maria, Äbtissin des Klosters St. Petrus in Lenta		–	
1500	It.Pont. 6,2	283	23	*	*455	–	[cr. 1171]	1171-01-01	1171-12-31	Alexander III.	Alexander III.	(Hugo/Ugo [Ugone della Volta],) Erzbischof von Genua	causa inter abbatem s. Rufi et canonicos Ianuen. super ecclesia de Sarzano audiendam	–	
1501	It.Pont. 6,2	345	3	*	*455	–	[cr. 1171]	1171-01-01	1171-12-31	Alexander III.	Alexander III.	Erzbischof von Genua	causa inter abbatem s. Rufi et canonicos Ianuen. super ecclesia de Sarzano audiendam	–	
1502	It.Pont. 6,2	365	3		456	Tusculanum	21 Oktober [1170-72]	1170-10-21	1172-10-21	Alexander III.	Alexander III.	Abt und Mitbrüder von Lirinen. (= Abtei Lérins?)		–	
1503	It.Pont. 6,2	366	4		457	Tusculanum	21 Oktober [1170-72]	1170-10-21	1172-10-21	Alexander III.	Alexander III.	S(tephanus), Bischof von Ventimiglia		–	
1504	It.Pont. 6,2	364	2		457	Tusculanum	21 Oktober [1170-72]	1170-10-21	1172-10-21	Alexander III.	Alexander III.	S(tephanus), Bischof von Ventimiglia		–	
1505	It.Pont. 6,2	366	5		458	(Tusculanum)	[21 Oktober 1170-72]	1170-10-21	1172-10-21	Alexander III.	Alexander III.	M(anfredus), Kardinaldiakon von San Giorgio in Velabro und apostolischer Legat		–	
1506	It.Pont. 6,2	345	4	*	*459	–	[1162-72]	1162-01-01	1172-12-31	Alexander III.	Alexander III.	Erzbischof von Genua und Abt von St. Syrus	Streitfall über Besitz	–	
1507	It.Pont. 6,2	48	3	*	*460	–	[1172-73]	1172-01-01	1173-12-31	Alexander III.	Alexander III.	–	subicit moniales interdicto	–	
1508	It.Pont. 6,2	48	4	*	*461	–	[1172-73]	1172-01-01	1173-12-31	Alexander III.	Alexander III.	electus aus Asti		–	
1509	It.Pont. 6,2	155	24	*	*461	–	[1172-73]	1172-01-01	1173-12-31	Alexander III.	Alexander III.	electus aus Asti		–	
1510	It.Pont. 6,2	138	26		462	Anagni	12 März [1160-73]	1160-03-12	1173-03-12	Alexander III.	Alexander III.	Probst und Kapitel Kirchen St. Petrus und St. Paulus sowie St. Laurentius Uliciensis q. d. Plebs martyrum in Oulx		12537	
1511	It.Pont. 6,2	138	27		463	Anagni	07 April 1173	1173-04-07	1173-04-07	Alexander III.	Alexander III.	Nikolaus, Probst der Kirchen St. Petrus und St. Paulus sowie St. Laurentius Uliciensis q. d. Plebs martyrum in Oulx		12220	
1512	It.Pont. 6,2	74	2		464	Anagni	22 April 1173	1173-04-22	1173-04-22	Alexander III.	Alexander III.	Probst der Kirche St. Michaelis in Cameri		–	
1513	It.Pont. 6,2	138	28	*	*465	–	[1173]	1173-01-01	1173-12-31	Alexander III.	Alexander III.	Raimundus, Erzbischof von Ebredunen. sowie apostolischer Legat	Streitfall (controversiam, quae inter Nicholaum s. Ulcien. ecclesiae praepositum et Stephanum presbyterum de Valputa vertebatur, definiendam)	–	
1514	It.Pont. 6,2	331	36		466	Anagni	11 Oktober [1173]	1173-10-11	1173-10-11	Alexander III.	Alexander III.	Konsuln und Volk von Genua		13152	
1515	It.Pont. 6,2	331	37		467	Anagni	11 Oktober [1173]	1173-10-11	1173-10-11	Alexander III.	Alexander III.	(Hugo/Ugo [Ugone della Volta],) Erzbischof von Genua		13151	
1516	It.Pont. 6,2	270	19		467	Anagni	11 Oktober [1173]	1173-10-11	1173-10-11	Alexander III.	Alexander III.	(Hugo/Ugo [Ugone della Volta],) Erzbischof von Genua		13151	
1517	It.Pont. 6,2	380	28		468	Anagni	26 November [1173]	1173-11-26	1173-11-26	Alexander III.	[Alexander III.]	(Pipinus,) Bischof von Luni		12174a	
1518	It.Pont. 6,2	331	38		468	Anagni	26 November [1173]	1173-11-26	1173-11-26	Alexander III.	[Alexander III.]	(Pipinus,) Bischof von Luni		12174a	
1519	It.Pont. 6,2	331	39	*	*469	–	[1173]	1173-01-01	1173-12-31	Alexander III.	Alexander III.	Konsuln aus Pisa		–	
1520	It.Pont. 6,2	127	21		470	Anagni	29 März 1174	1174-03-29	1174-03-29	Alexander III.	Alexander III.	Benediktus, Abt des Klosters in Chiusa		12361	
1521	It.Pont. 6,2	155	25	*	*471	–	[1174]	1174-01-01	1174-12-31	Alexander III.	Alexander III.	Magister Johannes, Subdiakon des apostolischen Stuhls	Streitfall (inter Albericum Lauden. ep. et Iohannem priorem de Paullo)	–	
1522	It.Pont. 6,2	240	4	*	*472	–	[1174]	1174-01-01	1174-12-31	Alexander III.	Alexander III.	Milo, Bischof von Turin und Erzpriester in Mailand	causa, quae inter Albericum Lauden. ep. et Ogerium abbatem monasterii de Percipiano	–	
1523	It.Pont. 6,2	160	5	*	*473	Ferentino	15 März [1175]	1175-03-15	1175-03-15	Alexander III.	Alexander III.	Kanoniker der ecclesiae cathedralis b. Mariae et s. Grati in Aosta		–	
1524	It.Pont. 6,2	161	2	*	*473	Ferentino	15 März [1175]	1175-03-15	1175-03-15	Alexander III.	Alexander III.	Kanoniker der ecclesiae cathedralis b. Mariae et s. Grati in Aosta		–	
1525	It.Pont. 6,2	332	40	*	*474	–	28 April 1175	1175-04-28	1175-04-28	Alexander III.	Alexander III.	Thomasus Spinula	confirmatio des Patronatsrechts einer Kirche	–	
1526	It.Pont. 6,2	332	41		475	Ferentino	31 Mai [1175]	1175-05-31	1175-05-31	Alexander III.	Alexander III.	Konsuln von Genua		12485a	
1527	It.Pont. 6,2	345	6		475	Ferentino	31 Mai [1175]	1175-05-31	1175-05-31	Alexander III.	Alexander III.	Konsuln von Genua		12485a	
1528	It.Pont. 6,2	283	24	*	*476	(Ferentino)	[21 Juni 1175]	1175-06-21	1175-06-21	Alexander III.	Alexander III.	(Obertus,) Bischof von Tortona	causa, quae inter (Hugonem) archiep. et canonicos super variis et diversis capitulis …	–	
1529	It.Pont. 6,2	270	20	*	*476	(Ferentino)	[21 Juni 1175]	1175-06-21	1175-06-21	Alexander III.	Alexander III.	(Obertus,) Bischof von Tortona	causa, quae inter (Hugonem) archiep. et canonicos super variis et diversis capitulis …	–	
1530	It.Pont. 6,2	284	25		477	Ferentino	21 Juni [1175]	1175-06-21	1175-06-21	Alexander III.	Alexander III.	(Obertus,) Probst von Genau, sowie die Kanoniker von Genua		12498	
1531	It.Pont. 6,2	270	21		477	Ferentino	21 Juni [1175]	1175-06-21	1175-06-21	Alexander III.	Alexander III.	(Obertus,) Probst von Genau, sowie die Kanoniker von Genua		12498	
1532	It.Pont. 6,2	284	26		478	Ferentino	20 September [1175]	1175-09-20	1175-09-20	Alexander III.	Alexander III.	(Obertus,) Bischof von Tortona, und der Abt von St. Andreas (de Sexto)		12429	
1533	It.Pont. 6,2	270	22		478	Ferentino	20 September [1175]	1175-09-20	1175-09-20	Alexander III.	Alexander III.	(Obertus,) Bischof von Tortona, und der Abt von St. Andreas (de Sexto)		12429	
1534	It.Pont. 6,2	202	1		479	–	[1175]	1175-01-01	1175-12-31	Alexander III.	Alexander III.	Konsuln sowie der gesamte Klerus und Volk von Alessandria della Paglia	Alessandria seit 1175 Bischofssitz	–	
1535	It.Pont. 6,2	209	2		479	–	[1175]	1175-01-01	1175-12-31	Alexander III.	Alexander III.	Konsuln sowie der gesamte Klerus und Volk von Alessandria della Paglia	Alessandria seit 1175 Bischofssitz	–	
1536	It.Pont. 6,2	203	2		480	Anagni	30 Januar [1176]	1176-01-30	1176-01-30	Alexander III.	Alexander III.	Kleriker der ecclesiae cathedralis s. Petri von Alessandria		12685	
1537	It.Pont. 6,2	204	1		480	Anagni	30 Januar [1176]	1176-01-30	1176-01-30	Alexander III.	Alexander III.	Kleriker der ecclesiae cathedralis s. Petri von Alessandria		12685	
1538	It.Pont. 6,2	167	3		481	Anagni	16 März [1174-76]	1174-03-16	1176-03-16	Alexander III.	Alexander III.	Probst der Kirche St. Aegidius in Verrès sowie dessen Mitbrüder	Inhaltsverzeichnis gibt S. 167 an – allerdings S. 166, Seitenzahl ist falsch	12539	
1539	It.Pont. 6,2	160	6		482	Anagni	21 März [1176]	1176-03-21	1176-03-21	Alexander III.	Alexander III.	Probst und Kanoniker der ecclesiae cathedralis in Aosta		–	
1540	It.Pont. 6,2	162	3		482	Anagni	21 März [1176]	1176-03-21	1176-03-21	Alexander III.	Alexander III.	Probst und Kanoniker der ecclesiae cathedralis b. Mariae et s. Grati in Aosta		–	
1541	It.Pont. 6,2	295	7		483	Anagni	19 April [1160-76]	1160-04-19	1176-04-19	Alexander III.	Alexander III.	O., Probst und Kanoniker der Kirche St. Maria in Castello		10630a	
1542	It.Pont. 6,2	160	7		484	Anagni	20 April 1176	1176-04-20	1176-04-20	Alexander III.	Alexander III.	Aymon [Aimon I. de Quart], Bischof von Aosta		12698	
1543	It.Pont. 6,2	284	27		485	Anagni	09 Mai [1173-76]	1173-05-09	1176-05-09	Alexander III.	Alexander III.	Probst und Kanoniker von Mortara		12567	
1544	It.Pont. 6,2	270	23		485	Anagni	09 Mai [1173-76]	1173-05-09	1176-05-09	Alexander III.	Alexander III.	Probst und Kanoniker von Mortara		12567	
1545	It.Pont. 6,2	284	28	*	*486	(Anagni)	[05.1160-76]	1160-01-05	1176-12-05	Alexander III.	coram Alexandro III.	Boten des Probstes und der Kanoniker von Genua und des Abtes sowie dessen Mitbrüdern von St. Syrus in Genua	controversia	–	
1546	It.Pont. 6,2	306	12	*	*486	(Anagni)	[05.1160-76]	1160-01-05	1176-12-05	Alexander III.	coram Alexandro III.	Boten des Probstes und der Kanoniker von Genua und des Abtes sowie dessen Mitbrüdern von St. Syrus in Genua	controversia	–	
1547	It.Pont. 6,2	307	13		487	Anagni	12 Mai [1160-76]	1160-05-12	1176-05-12	Alexander III.	Alexander III.	Bischöfe von Ventimiglia und Antipolitano [Antipolis = Antibes?]		12568	
1548	It.Pont. 6,2	285	29		487	Anagni	12 Mai [1160-76]	1160-05-12	1176-05-12	Alexander III.	Alexander III.	Bischöfe von Ventimiglia und Antipolitano [Antipolis = Antibes?]		12568	
1549	It.Pont. 6,2	220	5		488	Anagni	23 Mai 1176	1176-05-23	1176-05-23	Alexander III.	Alexander III.	Hu(go), Erzdiakon der Kirche St. Laurentius und St. Innocentius, sowie die Kanoniker		–	
1550	It.Pont. 6,2	138	29		489	Anagni	06 Juli [1176]	1176-07-06	1176-07-06	Alexander III.	Alexander III.	Martinus, Probst der Kirchen St. Petrus und St. Paulus sowie St. Laurentius Uliciensis q. d. Plebs martyrum in Oulx		12721	
1551	It.Pont. 6,2	51	2		490	Anagni	10 Juli 1176	1176-07-10	1176-07-10	Alexander III.	Alexander III.	Guido, Probst der Kirche St. Maria in Vezzolano		12723	
1552	It.Pont. 6,2	48	6		491	Anagni	09 August [1173-76]	1173-08-09	1176-08-09	Alexander III.	Alexander III.	Erzbischöfe und Bischöfe, in deren Gemeinden Klöster Casae Dei suas habet ecclesias		12659	
1553	It.Pont. 6,2	155	26		492	Ferrara	28 April [1177]	1177-04-28	1177-04-28	Alexander III.	Alexander III.	Albericus [Alberico del Corno], Bischof von Lodi		12816	
1554	It.Pont. 6,2	240	5		492	Ferrara	28 April [1177]	1177-04-28	1177-04-28	Alexander III.	Alexander III.	Albericus [Alberico del Corno], Bischof von Lodi		12816	
1555	It.Pont. 6,2	20	12		493	Ferrara	08 Mai [1177]	1177-05-08	1177-05-08	Alexander III.	Alexander III.	Kanoniker der Kirche St. Eusebius in Vercelli		12833	
1556	It.Pont. 6,2	216	15		494	(Venezia)	04 Juni [1177]	1177-06-04	1177-06-04	Alexander III.	Alexander III.	O(bertus), Bischof von Tortona, sowie die Kanoniker aus Tortona		12864	
1557	It.Pont. 6,2	220	6		494	Venezia	04 Juni [1177]	1177-06-04	1177-06-04	Alexander III.	Alexander III.	O(bertus), Bischof von Tortona, sowie die Kanoniker aus Tortona		12864	
1558	It.Pont. 6,2	387	8	*	*495	Venezia	[1177]	1177-01-01	1177-12-31	Alexander III.	Alexander III.	Abt des Klosters St. Caprasius in Aulla		–	
1559	It.Pont. 6,2	60	7		496	–	[cr. 1177]	1177-01-01	1177-12-31	Alexander III.	Alexander III.	A. von Summa, Subdiakon des apostolischen Stuhls [al. I. apost. sedis legato]		14037	
1560	It.Pont. 6,2	206	3		497	Anagni	23 Januar [1174-78]	1174-01-23	1178-01-23	Alexander III.	Alexander III.	Kanoniker der Kirche St. Martinus in Gamundio		†10691	
1561	It.Pont. 6,2	216	16		498	Laterano	31 März [1178]	1178-03-31	1178-03-31	Alexander III.	Alexander III.	[Obertus, Bischof von Tortona]		13257	
1562	It.Pont. 6,2	220	7		498	Laterano	31 März [1178]	1178-03-31	1178-03-31	Alexander III.	Alexander III.	[Obertus, Bischof von Tortona]		13257	
1563	It.Pont. 6,2	24	13		499	Laterano	20 April 1178	1178-04-20	1178-04-20	Alexander III.	Alexander III.	Ruffinus, Maior der Kathedrale b. Mariae Maioris in Vercelli		13049	
1564	It.Pont. 6,2	40	2	*	*500	–	[1178]	1178-01-01	1178-12-31	Alexander III.	Alexander III.	(Konrad,) Sohn des Markgrafen (Guilelmus von Montferrat)	prohibitio, ne quam Nepesinis molestiam inferat vel gravamen	–	
1565	It.Pont. 6,2	96	5	*	*501	–	[1174-78]	1174-01-01	1178-12-31	Alexander III.	Alexander III.	(Stephanus), Abt des Klosters St. Petrus in Savigliano	darüber hinaus erneut Chiusa (di San Michele) erwähnt	–	
1566	It.Pont. 6,2	128	22	*	*501	–	[1174-78]	1174-01-01	1178-12-31	Alexander III.	Alexander III.	(Stephanus), Abt des Klosters St. Petrus in Savigliano	darüber hinaus erneut Chiusa (di San Michele) erwähnt	–	
1567	It.Pont. 6,2	162	4		502	Tusculanum	13 Januar [1179]	1179-01-13	1179-01-13	Alexander III.	Alexander III.	Kapitel der ecclesiae cathedralis in Aosta		–	
1568	It.Pont. 6,2	271	24		503	–	[1159-79]	1159-01-01	1179-12-31	Alexander III.	Alexander III.	Erzbischof von Genua		14071	
1569	It.Pont. 6,2	332	42		503	–	[1159-79]	1159-01-01	1179-12-31	Alexander III.	Alexander III.	Erzbischof von Genua		14071	
1570	It.Pont. 6,2	271	25		504	–	[1159-79]	1159-01-01	1179-12-31	Alexander III.	Alexander III.	Erzbischof von Genua		13970	
1571	It.Pont. 6,2	271	26	*	*505	Laterano	09 April 1179	1179-04-09	1179-04-09	Alexander III.	Alexander III.	–	confirmatio aller Privilegien, quae ipse et praedecessores sui ecclesiae et urbi Ianuae fecerant	–	
1572	It.Pont. 6,2	332	43	*	*505	Laterano	09 April 1179	1179-04-09	1179-04-09	Alexander III.	Alexander III.	–	confirmatio aller Privilegien, quae ipse et praedecessores sui ecclesiae et urbi Ianuae fecerant	–	
1573	It.Pont. 6,2	272	27		506	Laterano	09 April [1179]	1179-04-09	1179-04-09	Alexander III.	Alexander III.	(Amalricus [Amalrich von Nesle],) Patriarch von Jerusalem, (Aimericus [Aimerich von Limoges],) Patriarch von Antiochien, Bischöfe und der gesamte Klerus jenseits des Meeres (transmarino)		13375	
1574	It.Pont. 6,2	332	44		506	Laterano	09 April [1179]	1179-04-09	1179-04-09	Alexander III.	Alexander III.	(Amalricus [Amalrich von Nesle],) Patriarch von Jerusalem, (Aimericus [Aimerich von Limoges],) Patriarch von Antiochien, Bischöfe und der gesamte Klerus jenseits des Meeres (transmarino)		13375	
1575	It.Pont. 6,2	139	30		507	Laterano	12 April [1166-79]	1166-04-12	1179-04-12	Alexander III.	Alexander III.	Probst sowie Mitbrüder der Kirchen St. Petrus und St. Paulus sowie St. Laurentius Uliciensis q. d. Plebs martyrum in Oulx		13209	
1576	It.Pont. 6,2	210	1		508	Laterano	17 April [1166-79]	1166-04-17	1179-04-17	Alexander III.	Alexander III.	Brüder des hospitalis domus in Felizzano		13206	
1577	It.Pont. 6,2	210	1		509	Laterano	17 April [1166-79]	1166-04-17	1179-04-17	Alexander III.	Alexander III.	Brüder des domus hospitalis domus de loco q. d. Dei Casium		–	
1578	It.Pont. 6,2	272	28		510	Gibelet = Byblos	25 April [1179]	1179-04-25	1179-04-25	Alexander III.	Alexander III.	Herr Ugone/Hugo Gebelletus (Hugoni domino Gebelleti) [= Hugo II. Embriaco/ Hugo II. von Gibelet	Laterano	13401	
1579	It.Pont. 6,2	285	30		510	Gibelet = Byblos	25 April [1179]	1179-04-25	1179-04-25	Alexander III.	Alexander III.	Herr Ugone/Hugo Gebelletus (Hugoni domino Gebelleti) [= Hugo II. Embriaco/ Hugo II. von Gibelet	Laterano	13401	
1580	It.Pont. 6,2	332	45		510	Gibelet = Byblos	25 April [1179]	1179-04-25	1179-04-25	Alexander III.	Alexander III.	Herr Ugone/Hugo Gebelletus (Hugoni domino Gebelleti) [= Hugo II. Embriaco/ Hugo II. von Gibelet	Laterano	13401	
1581	It.Pont. 6,2	380	29		511	Laterano	25 April 1179	1179-04-25	1179-04-25	Alexander III.	Alexander III.	Petrus, Bischof von Luni		13399	
1582	It.Pont. 6,2	387	9		511	Laterano	25 April 1179	1179-04-25	1179-04-25	Alexander III.	Alexander III.	Petrus, Bischof von Luni		13399	
1583	It.Pont. 6,2	333	46		512	Laterano	26 April [1179]	1179-04-26	1179-04-26	Alexander III.	Alexander III.	(Balduin IV. der Aussätzige,) König von Jerusalem		13402	
1584	It.Pont. 6,2	272	29		513	Laterano	26 April [1179]	1179-04-26	1179-04-26	Alexander III.	Alexander III.	(Odo,) Magister sowie Mitbrüder des domus militiae Templi	Jakob [hab ihm schon eine gesonderte Datei mit weiteren Bezügen zu Orden und zum HL. Land zugeschickt]	13402a	
1585	It.Pont. 6,2	285	31		513	Laterano	26 April [1179]	1179-04-26	1179-04-26	Alexander III.	Alexander III.	(Odo,) Magister sowie Mitbrüder des domus militiae Templi	Jakob	13402a	
1586	It.Pont. 6,2	333	47		513	Laterano	26 April [1179]	1179-04-26	1179-04-26	Alexander III.	Alexander III.	(Odo,) Magister sowie Mitbrüder des domus militiae Templi	Jakob	13402a	
1587	It.Pont. 6,2	285	32	*	*514	Laterano	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Erzbischöfe und Bischöfe per Tusciam, Lombardiam et provincias constitutis suas		–	
1588	It.Pont. 6,2	285	33	*	*515	–	[1179]	1179-01-01	1179-12-31	Alexander III.	Alexander III.	Magister der Schule aus Genua sowie dessen Nachfolger	concessio eines Privilegs	–	
1589	It.Pont. 6,2	196	1		516	Laterano	05 Mai 1179	1179-05-05	1179-05-05	Alexander III.	Alexander III.	Rolandus, Abt des Klosters St. Quintinus in Spigno		13413	
